year,round,grand_prix,available_compounds,yellow_flag_laps,safety_car_laps,virtual_safety_car_laps,red_flag_laps,total_laps
2022,11,Austrian Grand Prix,"['C5', 'C4', 'C3']","[39, 56, 57, 59]",[],"[57, 58, 59]",[],71
2022,12,French Grand Prix,"['C4', 'C3', 'C2']","[1, 18, 22, 38, 49, 50]","[18, 19, 20]",[49],[],53
2022,13,Hungarian Grand Prix,"['C4', 'C3', 'C2']","[1, 3, 35, 41, 47, 67, 68]",[],"[1, 2, 3, 67, 68]",[],70
2022,14,Belgian Grand Prix,"['C4', 'C3', 'C2']","[1, 2, 44]","[2, 3, 4]",[],[],44
2022,15,Dutch Grand Prix,"['C3', 'C2', 'C1']","[2, 4, 43, 44, 49, 54, 55]","[55, 56, 57, 58, 59, 60]","[47, 48, 49]",[],72
2022,16,Italian Grand Prix,"['C4', 'C3', 'C2']","[11, 12, 46, 47]","[47, 48, 49, 50, 51, 52, 53]",[12],[],53
2022,17,Singapore Grand Prix,"['C5', 'C4', 'C3']","[1, 7, 8, 21, 22, 25, 26, 27, 28, 30, 33, 36]","[8, 9, 10, 36, 37, 38, 39]","[21, 22, 26, 28, 29, 30]",[],59
2022,18,Japanese Grand Prix,"['C3', 'C2', 'C1']",[1],"[1, 2]",[],[2],29
2022,19,United States Grand Prix,"['C4', 'C3', 'C2']","[1, 18, 22]","[18, 19, 20, 21, 22, 23, 24, 25]",[],[],56
2022,20,Mexico City Grand Prix,"['C4', 'C3', 'C2']",[],[],[],[],71
2022,21,São Paulo Grand Prix,"['C4', 'C3', 'C2']","[1, 7, 51, 52]","[1, 2, 3, 4, 5, 6, 54, 55, 56, 57, 58, 59]","[52, 53, 54]",[],71
2022,22,Abu Dhabi Grand Prix,"['C5', 'C4', 'C3']",[38],[],[],[],58
2023,1,Bahrain Grand Prix,"['C3', 'C2', 'C1']","[1, 2, 40, 41]",[],"[40, 41]",[],57
2023,2,Saudi Arabian Grand Prix,"['C4', 'C3', 'C2']",[17],"[17, 18, 19, 20]",[],[],50
2023,3,Australian Grand Prix,"['C4', 'C3', 'C2']","[1, 7, 19, 53, 57]","[1, 2, 3, 7, 8, 54, 55]","[18, 19]","[8, 55, 57]",58
2023,4,Azerbaijan Grand Prix,"['C5', 'C4', 'C3']","[1, 10, 17, 48]","[10, 11, 12, 13]",[],[],51
2023,5,Miami Grand Prix,"['C4', 'C3', 'C2']",[],[],[],[],57
2023,6,Monaco Grand Prix,"['C5', 'C4', 'C3']","[1, 12, 14, 54, 55, 57, 58, 59, 60, 68]",[],[],[],78
2023,7,Spanish Grand Prix,"['C3', 'C2', 'C1']",[],[],[],[],66
2023,8,Canadian Grand Prix,"['C5', 'C4', 'C3']","[7, 8, 12, 28, 35, 36]","[12, 13, 14, 15, 16]",[8],[],70
2023,9,Austrian Grand Prix,"['C5', 'C4', 'C3']","[1, 13, 14, 15]","[1, 2, 3]","[14, 15]",[],71
2023,10,British Grand Prix,"['C3', 'C2', 'C1']",[32],"[33, 34, 35, 36, 37, 38]","[32, 33]",[],52
2023,11,Hungarian Grand Prix,"['C5', 'C4', 'C3']",[1],[],[],[],70
